playerID,yearID,votedBy,votes,inducted,category
cobbty01,1936,BBWAA,222,Y,Player
ruthba01,1936,BBWAA,215,Y,Player
wagneho01,1936,BBWAA,215,Y,Player
mathech01,1936,BBWAA,205,Y,Player
johnswa01,1936,BBWAA,189,Y,Player
lajoina01,1936,BBWAA,146,N,Player
speaktr01,1936,BBWAA,133,N,Player
youngcy01,1936,BBWAA,111,N,Player
hornsro01,1936,BBWAA,105,N,Player
cochrmi01,1936,BBWAA,80,N,Player
sislege01,1936,BBWAA,77,N,Player
collied01,1936,BBWAA,60,N,Player
colliji01,1936,BBWAA,58,N,Player
alexape01,1936,BBWAA,55,N,Player
gehrilo01,1936,BBWAA,51,N,Player
bresnro01,1936,BBWAA,47,N,Player
keelewi01,1936,BBWAA,40,N,Player
ansonca01,1936,Veterans,39,N,Player
ewingbu01,1936,Veterans,39,N,Player
keelewi01,1936,Veterans,33,N,Player
wadderu01,1936,BBWAA,33,N,Player
youngcy01,1936,Veterans,32,N,Player
delahed01,1936,Veterans,21,N,Player
foxxji01,1936,BBWAA,21,N,Player
walshed01,1936,BBWAA,20,N,Player
mcgrajo01,1936,Veterans,17,N,Player
delahed01,1936,BBWAA,17,N,Player
radboch01,1936,Veterans,16,N,Player
traynpi01,1936,BBWAA,16,N,Player
kellyki01,1936,Veterans,15,N,Player
longhe01,1936,Veterans,15,N,Player
friscfr01,1936,BBWAA,14,N,Player
grovele01,1936,BBWAA,12,N,Player
jennihu01,1936,Veterans,11,N,Player
rusieam01,1936,Veterans,11,N,Player
chaseha01,1936,BBWAA,11,N,Player
youngro01,1936,BBWAA,10,N,Player
clarkfr01,1936,Veterans,9,N,Player
terrybi01,1936,BBWAA,9,N,Player
colliji01,1936,Veterans,8,N,Player
klingjo01,1936,BBWAA,8,N,Player
crigelo01,1936,BBWAA,7,N,Player
comisch01,1936,Veterans,6,N,Player
dennyje01,1936,Veterans,6,N,Player
langebi01,1936,Veterans,6,N,Player
robinwi01,1936,Veterans,6,N,Player
stoveha01,1936,Veterans,6,N,Player
wrighge01,1936,Veterans,6,N,Player
brownmo01,1936,BBWAA,6,N,Player
eversjo01,1936,BBWAA,6,N,Player
clarkjo01,1936,Veterans,5,N,Player
wagneho01,1936,Veterans,5,N,Player
chancfr01,1936,BBWAA,5,N,Player
spaldal01,1936,Veterans,4,N,Player
mcgrajo01,1936,BBWAA,4,N,Player
schalra01,1936,BBWAA,4,N,Player
simmoal01,1936,BBWAA,4,N,Player
barnero01,1936,Veterans,3,N,Player
bennech01,1936,Veterans,3,N,Player
duffyhu01,1936,Veterans,3,N,Player
nichoki01,1936,Veterans,3,N,Player
wardjo01,1936,Veterans,3,N,Player
broutda01,1936,Veterans,2,N,Player
dunlafr01,1936,Veterans,2,N,Player
glassja01,1936,Veterans,2,N,Player
hamilbi01,1936,Veterans,2,N,Player
lajoina01,1936,Veterans,2,N,Player
willine01,1936,Veterans,2,N,Player
bendech01,1936,BBWAA,2,N,Player
jacksjo01,1936,BBWAA,2,N,Player
roushed01,1936,BBWAA,2,N,Player
allisdo01,1936,Veterans,1,N,Player
battijo01,1936,Veterans,1,N,Player
becklja01,1936,Veterans,1,N,Player
bondto01,1936,Veterans,1,N,Player
burkeje01,1936,Veterans,1,N,Player
crigelo01,1936,Veterans,1,N,Player
dahlebi01,1936,Veterans,1,N,Player
daubeja01,1936,Veterans,1,N,Player
doyleja01,1936,Veterans,1,N,Player
keefeti01,1936,Veterans,1,N,Player
kilroma01,1936,Veterans,1,N,Player
lathaar01,1936,Veterans,1,N,Player
lowebo01,1936,Veterans,1,N,Player
mcaleji01,1936,Veterans,1,N,Player
mccarto01,1936,Veterans,1,N,Player
mcveyca01,1936,Veterans,1,N,Player
paborch01,1936,Veterans,1,N,Player
pikeli01,1936,Veterans,1,N,Player
remseja01,1936,Veterans,1,N,Player
richaha01,1936,Veterans,1,N,Player
tennefr02,1936,Veterans,1,N,Player
vanhage01,1936,Veterans,1,N,Player
wallabo01,1936,Veterans,1,N,Player
whitede01,1936,Veterans,1,N,Player
bakerfr01,1936,BBWAA,1,N,Player
bradlbi01,1936,BBWAA,1,N,Player
clarkfr01,1936,BBWAA,1,N,Player
crawfsa01,1936,BBWAA,1,N,Player
elberki01,1936,BBWAA,1,N,Player
mackco01,1936,BBWAA,1,N,Player
marquru01,1936,BBWAA,1,N,Player
ruckena01,1936,BBWAA,1,N,Player
vanceda01,1936,BBWAA,1,N,Player
cummica01,1936,Veterans,0,N,Player
flintsi01,1936,Veterans,0,N,Player
richmle01,1936,Veterans,0,N,Player
gehrich01,1936,BBWAA,0,N,Player
hartnga01,1936,BBWAA,0,N,Player
sullibi03,1936,BBWAA,0,N,Player
lajoina01,1937,BBWAA,168,Y,Player
speaktr01,1937,BBWAA,165,Y,Player
youngcy01,1937,BBWAA,153,Y,Player
alexape01,1937,BBWAA,125,N,Player
collied01,1937,BBWAA,115,N,Player
keelewi01,1937,BBWAA,115,N,Player
sislege01,1937,BBWAA,106,N,Player
delahed01,1937,BBWAA,70,N,Player
wadderu01,1937,BBWAA,67,N,Player
colliji01,1937,BBWAA,66,N,Player
walshed01,1937,BBWAA,56,N,Player
hornsro01,1937,BBWAA,53,N,Player
chancfr01,1937,BBWAA,49,N,Player
eversjo01,1937,BBWAA,44,N,Player
bresnro01,1937,BBWAA,43,N,Player
brownmo01,1937,BBWAA,31,N,Player
maranra01,1937,BBWAA,25,N,Player
schalra01,1937,BBWAA,24,N,Player
planked01,1937,BBWAA,23,N,Player
clarkfr01,1937,BBWAA,22,N,Player
klingjo01,1937,BBWAA,20,N,Player
chaseha01,1937,BBWAA,18,N,Player
bendech01,1937,BBWAA,17,N,Player
crigelo01,1937,BBWAA,16,N,Player
youngro01,1937,BBWAA,16,N,Player
pennohe01,1937,BBWAA,15,N,Player
tinkejo01,1937,BBWAA,15,N,Player
bakerfr01,1937,BBWAA,13,N,Player
marquru01,1937,BBWAA,13,N,Player
woodjo02,1937,BBWAA,13,N,Player
mcginjo01,1937,BBWAA,12,N,Player
jossad01,1937,BBWAA,11,N,Player
ruckena01,1937,BBWAA,11,N,Player
heilmha01,1937,BBWAA,10,N,Player
roushed01,1937,BBWAA,10,N,Player
vanceda01,1937,BBWAA,10,N,Player
adamsba01,1937,BBWAA,8,N,Player
duffyhu01,1937,BBWAA,7,N,Player
archeji01,1937,BBWAA,6,N,Player
careyma01,1937,BBWAA,6,N,Player
donlimi01,1937,BBWAA,6,N,Player
hoopeha01,1937,BBWAA,6,N,Player
bradlbi01,1937,BBWAA,5,N,Player
carribi02,1937,BBWAA,5,N,Player
crawfsa01,1937,BBWAA,5,N,Player
huggimi01,1937,BBWAA,5,N,Manager
